study_id,pmid,pmcid,title,primary_reviewer,second_reviewer,fulltext_access_status,country,setting_final,design_final,cluster_randomized,sample_size_randomized_total,sample_size_analyzed_total,mean_age,female_percent,frailty_definition,baseline_frailty_severity,intervention_name,intervention_components_final,exercise_type,nutrition_component,digital_or_home_support,personnel_required,dose_frequency,session_duration_minutes,intervention_duration_weeks,comparator_final,follow_up_timepoint_primary,primary_outcome_for_synthesis,effect_measure_preferred,notes_for_effect_size_conversion,final_include_for_meta,final_include_for_nma
FRAIL-101,39731555,,Impacts of Depressive Symptoms on the Effectiveness of a Theory-Driven Exercise Intervention Among Community-Dwelling (Pre)frail Older Adults.,Dr Siddalingaiah H S,Dr Chandrakala D,publisher_or_library_fulltext_required,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-102,41103092,,Nutritional Guidance Decreases the Prevalence of Frailty Among Older Caregivers.,Dr Chandrakala D,Dr Siddalingaiah H S,publisher_or_library_fulltext_required,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-103,40977239,,Effect of a combined exercise and nutrition program on sarcopenia in older adults: a randomised controlled trial in primary care.,Dr Siddalingaiah H S,Dr Chandrakala D,publisher_or_library_fulltext_required,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-104,40616927,,Effects of a nurse-led health coaching program to prevent frailty in prefrail older women: A randomized controlled trial.,Dr Chandrakala D,Dr Siddalingaiah H S,publisher_or_library_fulltext_required,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-105,40147475,,"Metformin and physical performance in older people with probable sarcopenia and physical prefrailty or frailty in England (MET-PREVENT): a double-blind, randomised, placebo-controlled trial.",Dr Siddalingaiah H S,Dr Chandrakala D,publisher_or_library_fulltext_required,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-106,40121126,,"Improvements in Depressive Symptoms, Perceived Social Support, and Quality of Life Through an Educational Program in Community-Dwelling Older Adults With Frailty Phenotype: A Randomized Controlled Trial of the FRAGSALUD Project.",Dr Chandrakala D,Dr Siddalingaiah H S,publisher_or_library_fulltext_required,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-107,40024357,,"Examining the impact of 28-week multicomponent and strength exercises on brain health, salivary stress, and mental well-being in frail older women: A controlled trial analysis.",Dr Siddalingaiah H S,Dr Chandrakala D,publisher_or_library_fulltext_required,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-108,39798411,,Effects of interactive boxing-cycling on dual-task walking and prefrontal cortex activation in older adults with cognitive frailty: A randomized controlled trial.,Dr Chandrakala D,Dr Siddalingaiah H S,publisher_or_library_fulltext_required,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-109,39736420,,Effects of the Vivifrail-B multicomponent exercise program based on society ecosystems theory on physical function in community-dwelling frail older adults: A randomized controlled trial.,Dr Siddalingaiah H S,Dr Chandrakala D,publisher_or_library_fulltext_required,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-110,39626407,,Acceptability and utility of a broad test battery to evaluate physical functioning and frailty in community-based settings for people experiencing homelessness and addiction-Findings from the LEAP trials.,Dr Chandrakala D,Dr Siddalingaiah H S,publisher_or_library_fulltext_required,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-111,39561465,,Effect of a home-based exercise program on subsequent falls among community-dwelling older adults with cognitive frailty: A sub-group analysis of a randomized controlled trial.,Dr Siddalingaiah H S,Dr Chandrakala D,publisher_or_library_fulltext_required,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-112,39500251,,Effectiveness of a theory-underpinning exercise intervention among community-dwelling (pre)frail older adults: A stepped-wedge cluster-randomized trial.,Dr Chandrakala D,Dr Siddalingaiah H S,publisher_or_library_fulltext_required,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-113,39647881,,[The difference in effect between individual exercise and collective exercise in older adults with frailty-A randomized controlled trial].,Dr Siddalingaiah H S,Dr Chandrakala D,publisher_or_library_fulltext_required,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-114,39182446,,Impacts of subjective cognitive decline and mild cognitive impairment on the effectiveness of an exercise intervention among community-dwelling (Pre)frail older adults.,Dr Chandrakala D,Dr Siddalingaiah H S,publisher_or_library_fulltext_required,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-115,39166366,,"Correction to ""Effect of cholecalciferol supplementation on hand grip strength, walking speed, and expression of vitamin D receptor, interleukin-6, and insulin-like growth factor-1 in monocyte in pre-frail older adults: A randomized double-blind placebo-controlled trial"".",Dr Siddalingaiah H S,Dr Chandrakala D,publisher_or_library_fulltext_required,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-116,38727090,,Changes in cognitive function after a 12-week POWER rehabilitation in older adults with schizophrenia and frailty.,Dr Chandrakala D,Dr Siddalingaiah H S,publisher_or_library_fulltext_required,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-117,38691121,,"Effectiveness of Resistance Band Use in Conjunction With Tai Chi Among Older Adults With Prefrailty to Improve Functional Fitness, Quality of Life, and Heart Rate Variability.",Dr Siddalingaiah H S,Dr Chandrakala D,publisher_or_library_fulltext_required,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-118,38479253,,Interactive boxing-cycling on frailty and activity limitations in frail and prefrail older adults: A randomized controlled trial.,Dr Chandrakala D,Dr Siddalingaiah H S,publisher_or_library_fulltext_required,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-119,38430497,,Verification of the Effects of a YouTube-Based Home-Based (Self-Managed Intervention) Training System Developed for Frailty Prevention: A Pilot Study.,Dr Siddalingaiah H S,Dr Chandrakala D,publisher_or_library_fulltext_required,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-120,38251739,,Response rates and associated factors after a multicomponent intervention in frail older adults with diabetes.,Dr Chandrakala D,Dr Siddalingaiah H S,publisher_or_library_fulltext_required,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-121,37997084,,Enabling health and maintaining independence for older people at home (HomeHealth trial): a multicentre randomised controlled trial.,Dr Siddalingaiah H S,Dr Chandrakala D,publisher_or_library_fulltext_required,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-122,37026833,,Effects of Exercise Interventions on Physical Performance and Activities of Daily Living in Oldest-Old and Frail Older Adults: A Review of the Literature.,Dr Chandrakala D,Dr Siddalingaiah H S,publisher_or_library_fulltext_required,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-123,36849160,,Building resilience and reversing frailty: a randomised controlled trial of a primary care intervention for older adults.,Dr Siddalingaiah H S,Dr Chandrakala D,publisher_or_library_fulltext_required,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-124,36629088,,"Effects of Vitamin D, Omega-3 Fatty Acids and a Home Exercise Program on Prevention of Pre-Frailty in Older Adults: The DO-HEALTH Randomized Clinical Trial.",Dr Chandrakala D,Dr Siddalingaiah H S,publisher_or_library_fulltext_required,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-125,34417416,,Effectiveness of a Supervised Group-Based Otago Exercise Program on Functional Performance in Frail Institutionalized Older Adults: A Multicenter Randomized Controlled Trial.,Dr Siddalingaiah H S,Dr Chandrakala D,publisher_or_library_fulltext_required,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-126,36037722,,Resistance training-induced improvement in physical function is not associated to changes in endocrine somatotropic activity in prefrail older adults.,Dr Chandrakala D,Dr Siddalingaiah H S,publisher_or_library_fulltext_required,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-127,34283997,,"Effect of 12-Month Supervised, Home-Based Physical Exercise on Functioning Among Persons With Signs of Frailty: A Randomized Controlled Trial.",Dr Siddalingaiah H S,Dr Chandrakala D,publisher_or_library_fulltext_required,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-128,33975304,,Reinforcement Effects of Social Network Intervention during Nutritional Supplementation in Frail Older Adults.,Dr Chandrakala D,Dr Siddalingaiah H S,publisher_or_library_fulltext_required,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-129,33691612,,A Randomized Controlled Pilot Exercise and Protein Effectiveness Supplementation Study (EXPRESS) on Reducing Frailty Risk in Community-Dwelling Older People.,Dr Siddalingaiah H S,Dr Chandrakala D,publisher_or_library_fulltext_required,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-130,33128790,,Improvement of oral hypofunction by a comprehensive oral and physical exercise programme including textured lunch gatherings.,Dr Chandrakala D,Dr Siddalingaiah H S,publisher_or_library_fulltext_required,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-131,32858228,,DO-HEALTH: Vitamin D3 - Omega-3 - Home exercise - Healthy aging and longevity trial - Design of a multinational clinical trial on healthy aging among European seniors.,Dr Siddalingaiah H S,Dr Chandrakala D,publisher_or_library_fulltext_required,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-132,32443963,,Perceptive-Cognitive and Physical Function in Prefrail Older Adults: Exergaming Versus Traditional Multicomponent Training.,Dr Chandrakala D,Dr Siddalingaiah H S,publisher_or_library_fulltext_required,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-133,31706917,,Effects of a Multicomponent Frailty Prevention Program in Prefrail Community-Dwelling Older Persons: A Randomized Controlled Trial.,Dr Siddalingaiah H S,Dr Chandrakala D,publisher_or_library_fulltext_required,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-134,30528641,,Effect of a short multicomponent exercise intervention focused on muscle power in frail and pre frail elderly: A pilot trial.,Dr Chandrakala D,Dr Siddalingaiah H S,publisher_or_library_fulltext_required,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-135,29395372,,"A high whey protein, vitamin D and E supplement preserves muscle mass, strength, and quality of life in sarcopenic older adults: A double-blind randomized controlled trial.",Dr Siddalingaiah H S,Dr Chandrakala D,publisher_or_library_fulltext_required,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-136,29381526,,The Modified Otago Exercises Prevent Grip Strength Deterioration Among Older Fallers in the Malaysian Falls Assessment and Intervention Trial (MyFAIT).,Dr Chandrakala D,Dr Siddalingaiah H S,publisher_or_library_fulltext_required,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-137,30328470,,Effect of respiratory rehabilitation for frail older patients with musculoskeletal disorders: a randomized controlled trial.,Dr Siddalingaiah H S,Dr Chandrakala D,publisher_or_library_fulltext_required,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-138,30053278,,Cholecalciferol or 25-Hydroxycholecalciferol Supplementation Does Not Affect Muscle Strength and Physical Performance in Prefrail and Frail Older Adults.,Dr Chandrakala D,Dr Siddalingaiah H S,publisher_or_library_fulltext_required,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-139,29455058,,Physical activity combined with resistance training reduces symptoms of frailty in older adults: A randomized controlled trial.,Dr Siddalingaiah H S,Dr Chandrakala D,publisher_or_library_fulltext_required,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-140,29183035,,User-Oriented Evaluation of a Robotic Rollator That Provides Navigation Assistance in Frail Older Adults with and without Cognitive Impairment.,Dr Chandrakala D,Dr Siddalingaiah H S,publisher_or_library_fulltext_required,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-141,28064172,,Effectiveness of an intervention to prevent frailty in pre-frail community-dwelling older people consulting in primary care: a randomised controlled trial.,Dr Siddalingaiah H S,Dr Chandrakala D,publisher_or_library_fulltext_required,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-142,27993489,,A multifactorial intervention for frail older people is more than twice as effective among those who are compliant: complier average causal effect analysis of a randomised trial.,Dr Chandrakala D,Dr Siddalingaiah H S,publisher_or_library_fulltext_required,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-143,27588891,,Fear of falling reduced by a lay led home-based program in frail community-dwelling older adults: A randomised controlled trial.,Dr Siddalingaiah H S,Dr Chandrakala D,publisher_or_library_fulltext_required,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-144,27138245,,Effects of an integrated health education and elastic band resistance training program on physical function and muscle strength in community-dwelling elderly women: Healthy Aging and Happy Aging II study.,Dr Chandrakala D,Dr Siddalingaiah H S,publisher_or_library_fulltext_required,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-145,26947059,,"A Multicomponent Exercise Intervention that Reverses Frailty and Improves Cognition, Emotion, and Social Networking in the Community-Dwelling Frail Elderly: A Randomized Clinical Trial.",Dr Siddalingaiah H S,Dr Chandrakala D,publisher_or_library_fulltext_required,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-146,27032052,,Nutrition and Frailty: A Review of Clinical Intervention Studies.,Dr Chandrakala D,Dr Siddalingaiah H S,publisher_or_library_fulltext_required,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-147,26663424,,Cost-Effectiveness of a Chronic Care Model for Frail Older Adults in Primary Care: Economic Evaluation Alongside a Stepped-Wedge Cluster-Randomized Trial.,Dr Siddalingaiah H S,Dr Chandrakala D,publisher_or_library_fulltext_required,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-148,26159634,,"Nutritional, Physical, Cognitive, and Combination Interventions and Frailty Reversal Among Older Adults: A Randomized Controlled Trial.",Dr Chandrakala D,Dr Siddalingaiah H S,publisher_or_library_fulltext_required,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-149,25659620,,Effects of a combined physical training and nutrition intervention on physical performance and health-related quality of life in prefrail older women living in the community: a randomized controlled trial.,Dr Siddalingaiah H S,Dr Chandrakala D,publisher_or_library_fulltext_required,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-150,27049906,,Predicting the Efficacy of Protein-Energy Supplementation in Frail Older Adults Living in Community.,Dr Chandrakala D,Dr Siddalingaiah H S,publisher_or_library_fulltext_required,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-151,24381025,,"Effect of a multifactorial, interdisciplinary intervention on risk factors for falls and fall rate in frail older people: a randomised controlled trial.",Dr Siddalingaiah H S,Dr Chandrakala D,publisher_or_library_fulltext_required,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-152,23906550,,Physical function and fear of falling 2 years after the health-promoting randomized controlled trial: elderly persons in the risk zone.,Dr Chandrakala D,Dr Siddalingaiah H S,publisher_or_library_fulltext_required,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-153,23740589,,The effect of functional circuit training on self-reported fear of falling and health status in a group of physically frail older individuals: a randomized controlled trial.,Dr Siddalingaiah H S,Dr Chandrakala D,publisher_or_library_fulltext_required,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-154,23429407,,Intentional weight loss in older adults: useful or wasting disease generating strategy?,Dr Chandrakala D,Dr Siddalingaiah H S,publisher_or_library_fulltext_required,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-155,22879453,,Preventive effect of protein-energy supplementation on the functional decline of frail older adults with low socioeconomic status: a community-based randomized controlled study.,Dr Siddalingaiah H S,Dr Chandrakala D,publisher_or_library_fulltext_required,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-156,22744992,,Wii-hab for pre-frail older adults.,Dr Chandrakala D,Dr Siddalingaiah H S,publisher_or_library_fulltext_required,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-157,20956842,,The effect of functional circuit training on physical frailty in frail older adults: a randomized controlled trial.,Dr Siddalingaiah H S,Dr Chandrakala D,publisher_or_library_fulltext_required,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-158,20171455,,"The effectiveness of a comprehensive geriatric assessment intervention program for frailty in community-dwelling older people: a randomized, controlled trial.",Dr Chandrakala D,Dr Siddalingaiah H S,publisher_or_library_fulltext_required,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-159,20044155,,Effects of a physical training and nutritional intervention program in frail elderly people regarding habitual physical activity level and activities of daily living--a randomized controlled pilot study.,Dr Siddalingaiah H S,Dr Chandrakala D,publisher_or_library_fulltext_required,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-160,19394017,,Comparison of three established measures of fear of falling in community-dwelling older adults: psychometric testing.,Dr Chandrakala D,Dr Siddalingaiah H S,publisher_or_library_fulltext_required,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-161,18804874,,Comparison of 2-year effects of once and twice weekly water exercise on activities of daily living ability of community dwelling frail elderly.,Dr Siddalingaiah H S,Dr Chandrakala D,publisher_or_library_fulltext_required,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-162,18608400,,Comparison two-year effects of once-weekly and twice-weekly water exercise on health-related quality of life of community-dwelling frail elderly people at a day-service facility.,Dr Chandrakala D,Dr Siddalingaiah H S,publisher_or_library_fulltext_required,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-163,18431084,,Effects of a physical and nutritional intervention program for frail elderly people over age 75. A randomized controlled pilot treatment trial.,Dr Siddalingaiah H S,Dr Chandrakala D,publisher_or_library_fulltext_required,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-164,17624483,,Feasibility and effectiveness of a nurse-led community exercise programme for prevention of falls among frail elderly people: a multi-centre controlled trial.,Dr Chandrakala D,Dr Siddalingaiah H S,publisher_or_library_fulltext_required,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-165,16813773,,Effects of exercise programs on falls and mobility in frail and pre-frail older adults: A multicenter randomized controlled trial.,Dr Siddalingaiah H S,Dr Chandrakala D,publisher_or_library_fulltext_required,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-166,16636211,,Effect of weight loss and exercise on frailty in obese older adults.,Dr Chandrakala D,Dr Siddalingaiah H S,publisher_or_library_fulltext_required,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-167,16510864,,"The influence of intense Tai Chi training on physical performance and hemodynamic outcomes in transitionally frail, older adults.",Dr Siddalingaiah H S,Dr Chandrakala D,publisher_or_library_fulltext_required,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-168,15241748,,A prehabilitation program for the prevention of functional decline: effect on higher-level physical function.,Dr Chandrakala D,Dr Siddalingaiah H S,publisher_or_library_fulltext_required,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-169,14687360,,Selected as the best paper in the 1990s: Reducing frailty and falls in older persons: an investigation of tai chi and computerized balance training.,Dr Siddalingaiah H S,Dr Chandrakala D,publisher_or_library_fulltext_required,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-170,12588571,,"A randomized, controlled trial of quadriceps resistance exercise and vitamin D in frail older people: the Frailty Interventions Trial in Elderly Subjects (FITNESS).",Dr Chandrakala D,Dr Siddalingaiah H S,publisher_or_library_fulltext_required,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-171,12448161,,[Physical training as treatment of reduced functional ability in frail 75+ year-olds living at home. A randomized intervention study in general practice with technological assessment elements].,Dr Siddalingaiah H S,Dr Chandrakala D,publisher_or_library_fulltext_required,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-172,12171453,,"Benefits of nutritional supplementation in free-living, frail, undernourished elderly people: a prospective randomized community trial.",Dr Chandrakala D,Dr Siddalingaiah H S,publisher_or_library_fulltext_required,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-173,11427784,,Exercise dose-response effects on quality of life and independent living in older adults.,Dr Siddalingaiah H S,Dr Chandrakala D,publisher_or_library_fulltext_required,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-174,11387588,,"Physical exercise and/or enriched foods for functional improvement in frail, independently living elderly: a randomized controlled trial.",Dr Chandrakala D,Dr Siddalingaiah H S,publisher_or_library_fulltext_required,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-175,10968301,,Attrition in an exercise intervention: a comparison of early and later dropouts.,Dr Siddalingaiah H S,Dr Chandrakala D,publisher_or_library_fulltext_required,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-176,10896013,,Low-intensity exercise as a modifier of physical frailty in older adults.,Dr Chandrakala D,Dr Siddalingaiah H S,publisher_or_library_fulltext_required,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-177,10496549,,The relation between psychometric test performance and physical performance in older adults.,Dr Siddalingaiah H S,Dr Chandrakala D,publisher_or_library_fulltext_required,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-178,10462167,,Peak aerobic power is an important component of physical performance in older women.,Dr Chandrakala D,Dr Siddalingaiah H S,publisher_or_library_fulltext_required,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAIL-179,8617895,,Reducing frailty and falls in older persons: an investigation of Tai Chi and computerized balance training. Atlanta FICSIT Group. Frailty and Injuries: Cooperative Studies of Intervention Techniques.,Dr Siddalingaiah H S,Dr Chandrakala D,publisher_or_library_fulltext_required,,,,,,,,,,,,,,,,,,,,,,,,,,
