study_id,pmid,domain,judgement,support_for_judgement,reviewer,second_author_checked,consensus_judgement
FRAIL-060,32259186,D2_deviations_from_intended_interventions,,,Dr Chandrakala D,,
FRAIL-060,32259186,D3_missing_outcome_data,,,Dr Chandrakala D,,
FRAIL-060,32259186,D4_outcome_measurement,,,Dr Chandrakala D,,
FRAIL-060,32259186,D5_selection_of_reported_result,,,Dr Chandrakala D,,
FRAIL-060,32259186,overall,,,Dr Chandrakala D,,
FRAIL-061,32134208,D1_randomization_process,,,Dr Siddalingaiah H S,,
FRAIL-061,32134208,D2_deviations_from_intended_interventions,,,Dr Siddalingaiah H S,,
FRAIL-061,32134208,D3_missing_outcome_data,,,Dr Siddalingaiah H S,,
FRAIL-061,32134208,D4_outcome_measurement,,,Dr Siddalingaiah H S,,
FRAIL-061,32134208,D5_selection_of_reported_result,,,Dr Siddalingaiah H S,,
FRAIL-061,32134208,overall,,,Dr Siddalingaiah H S,,
FRAIL-062,31997543,D1_randomization_process,,,Dr Chandrakala D,,
FRAIL-062,31997543,D2_deviations_from_intended_interventions,,,Dr Chandrakala D,,
FRAIL-062,31997543,D3_missing_outcome_data,,,Dr Chandrakala D,,
FRAIL-062,31997543,D4_outcome_measurement,,,Dr Chandrakala D,,
FRAIL-062,31997543,D5_selection_of_reported_result,,,Dr Chandrakala D,,
FRAIL-062,31997543,overall,,,Dr Chandrakala D,,
FRAIL-063,31791364,D1_randomization_process,,,Dr Siddalingaiah H S,,
FRAIL-063,31791364,D2_deviations_from_intended_interventions,,,Dr Siddalingaiah H S,,
FRAIL-063,31791364,D3_missing_outcome_data,,,Dr Siddalingaiah H S,,
FRAIL-063,31791364,D4_outcome_measurement,,,Dr Siddalingaiah H S,,
FRAIL-063,31791364,D5_selection_of_reported_result,,,Dr Siddalingaiah H S,,
FRAIL-063,31791364,overall,,,Dr Siddalingaiah H S,,
FRAIL-064,31466229,D1_randomization_process,,,Dr Chandrakala D,,
FRAIL-064,31466229,D2_deviations_from_intended_interventions,,,Dr Chandrakala D,,
FRAIL-064,31466229,D3_missing_outcome_data,,,Dr Chandrakala D,,
FRAIL-064,31466229,D4_outcome_measurement,,,Dr Chandrakala D,,
FRAIL-064,31466229,D5_selection_of_reported_result,,,Dr Chandrakala D,,
FRAIL-064,31466229,overall,,,Dr Chandrakala D,,
FRAIL-065,31367733,D1_randomization_process,,,Dr Siddalingaiah H S,,
FRAIL-065,31367733,D2_deviations_from_intended_interventions,,,Dr Siddalingaiah H S,,
FRAIL-065,31367733,D3_missing_outcome_data,,,Dr Siddalingaiah H S,,
FRAIL-065,31367733,D4_outcome_measurement,,,Dr Siddalingaiah H S,,
FRAIL-065,31367733,D5_selection_of_reported_result,,,Dr Siddalingaiah H S,,
FRAIL-065,31367733,overall,,,Dr Siddalingaiah H S,,
FRAIL-066,31360662,D1_randomization_process,,,Dr Chandrakala D,,
FRAIL-066,31360662,D2_deviations_from_intended_interventions,,,Dr Chandrakala D,,
FRAIL-066,31360662,D3_missing_outcome_data,,,Dr Chandrakala D,,
FRAIL-066,31360662,D4_outcome_measurement,,,Dr Chandrakala D,,
FRAIL-066,31360662,D5_selection_of_reported_result,,,Dr Chandrakala D,,
FRAIL-066,31360662,overall,,,Dr Chandrakala D,,
FRAIL-067,31249332,D1_randomization_process,,,Dr Siddalingaiah H S,,
FRAIL-067,31249332,D2_deviations_from_intended_interventions,,,Dr Siddalingaiah H S,,
FRAIL-067,31249332,D3_missing_outcome_data,,,Dr Siddalingaiah H S,,
FRAIL-067,31249332,D4_outcome_measurement,,,Dr Siddalingaiah H S,,
FRAIL-067,31249332,D5_selection_of_reported_result,,,Dr Siddalingaiah H S,,
FRAIL-067,31249332,overall,,,Dr Siddalingaiah H S,,
FRAIL-068,31133863,D1_randomization_process,,,Dr Chandrakala D,,
FRAIL-068,31133863,D2_deviations_from_intended_interventions,,,Dr Chandrakala D,,
FRAIL-068,31133863,D3_missing_outcome_data,,,Dr Chandrakala D,,
FRAIL-068,31133863,D4_outcome_measurement,,,Dr Chandrakala D,,
FRAIL-068,31133863,D5_selection_of_reported_result,,,Dr Chandrakala D,,
FRAIL-068,31133863,overall,,,Dr Chandrakala D,,
FRAIL-069,31016897,D1_randomization_process,,,Dr Siddalingaiah H S,,
FRAIL-069,31016897,D2_deviations_from_intended_interventions,,,Dr Siddalingaiah H S,,
FRAIL-069,31016897,D3_missing_outcome_data,,,Dr Siddalingaiah H S,,
FRAIL-069,31016897,D4_outcome_measurement,,,Dr Siddalingaiah H S,,
FRAIL-069,31016897,D5_selection_of_reported_result,,,Dr Siddalingaiah H S,,
FRAIL-069,31016897,overall,,,Dr Siddalingaiah H S,,
FRAIL-070,32300691,D1_randomization_process,,,Dr Chandrakala D,,
FRAIL-070,32300691,D2_deviations_from_intended_interventions,,,Dr Chandrakala D,,
FRAIL-070,32300691,D3_missing_outcome_data,,,Dr Chandrakala D,,
FRAIL-070,32300691,D4_outcome_measurement,,,Dr Chandrakala D,,
FRAIL-070,32300691,D5_selection_of_reported_result,,,Dr Chandrakala D,,
FRAIL-070,32300691,overall,,,Dr Chandrakala D,,
FRAIL-071,30498835,D1_randomization_process,,,Dr Siddalingaiah H S,,
FRAIL-071,30498835,D2_deviations_from_intended_interventions,,,Dr Siddalingaiah H S,,
FRAIL-071,30498835,D3_missing_outcome_data,,,Dr Siddalingaiah H S,,
FRAIL-071,30498835,D4_outcome_measurement,,,Dr Siddalingaiah H S,,
FRAIL-071,30498835,D5_selection_of_reported_result,,,Dr Siddalingaiah H S,,
FRAIL-071,30498835,overall,,,Dr Siddalingaiah H S,,
FRAIL-072,30138718,D1_randomization_process,,,Dr Chandrakala D,,
FRAIL-072,30138718,D2_deviations_from_intended_interventions,,,Dr Chandrakala D,,
FRAIL-072,30138718,D3_missing_outcome_data,,,Dr Chandrakala D,,
FRAIL-072,30138718,D4_outcome_measurement,,,Dr Chandrakala D,,
FRAIL-072,30138718,D5_selection_of_reported_result,,,Dr Chandrakala D,,
FRAIL-072,30138718,overall,,,Dr Chandrakala D,,
FRAIL-073,29988285,D1_randomization_process,,,Dr Siddalingaiah H S,,
FRAIL-073,29988285,D2_deviations_from_intended_interventions,,,Dr Siddalingaiah H S,,
FRAIL-073,29988285,D3_missing_outcome_data,,,Dr Siddalingaiah H S,,
FRAIL-073,29988285,D4_outcome_measurement,,,Dr Siddalingaiah H S,,
FRAIL-073,29988285,D5_selection_of_reported_result,,,Dr Siddalingaiah H S,,
FRAIL-073,29988285,overall,,,Dr Siddalingaiah H S,,
FRAIL-074,29783928,D1_randomization_process,,,Dr Chandrakala D,,
FRAIL-074,29783928,D2_deviations_from_intended_interventions,,,Dr Chandrakala D,,
FRAIL-074,29783928,D3_missing_outcome_data,,,Dr Chandrakala D,,
FRAIL-074,29783928,D4_outcome_measurement,,,Dr Chandrakala D,,
FRAIL-074,29783928,D5_selection_of_reported_result,,,Dr Chandrakala D,,
FRAIL-074,29783928,overall,,,Dr Chandrakala D,,
FRAIL-075,29346524,D1_randomization_process,,,Dr Siddalingaiah H S,,
FRAIL-075,29346524,D2_deviations_from_intended_interventions,,,Dr Siddalingaiah H S,,
FRAIL-075,29346524,D3_missing_outcome_data,,,Dr Siddalingaiah H S,,
FRAIL-075,29346524,D4_outcome_measurement,,,Dr Siddalingaiah H S,,
FRAIL-075,29346524,D5_selection_of_reported_result,,,Dr Siddalingaiah H S,,
FRAIL-075,29346524,overall,,,Dr Siddalingaiah H S,,
FRAIL-076,29310138,D1_randomization_process,,,Dr Chandrakala D,,
FRAIL-076,29310138,D2_deviations_from_intended_interventions,,,Dr Chandrakala D,,
FRAIL-076,29310138,D3_missing_outcome_data,,,Dr Chandrakala D,,
FRAIL-076,29310138,D4_outcome_measurement,,,Dr Chandrakala D,,
FRAIL-076,29310138,D5_selection_of_reported_result,,,Dr Chandrakala D,,
FRAIL-076,29310138,overall,,,Dr Chandrakala D,,
FRAIL-077,28972245,D1_randomization_process,,,Dr Siddalingaiah H S,,
FRAIL-077,28972245,D2_deviations_from_intended_interventions,,,Dr Siddalingaiah H S,,
FRAIL-077,28972245,D3_missing_outcome_data,,,Dr Siddalingaiah H S,,
FRAIL-077,28972245,D4_outcome_measurement,,,Dr Siddalingaiah H S,,
FRAIL-077,28972245,D5_selection_of_reported_result,,,Dr Siddalingaiah H S,,
FRAIL-077,28972245,overall,,,Dr Siddalingaiah H S,,
FRAIL-078,28951766,D1_randomization_process,,,Dr Chandrakala D,,
FRAIL-078,28951766,D2_deviations_from_intended_interventions,,,Dr Chandrakala D,,
FRAIL-078,28951766,D3_missing_outcome_data,,,Dr Chandrakala D,,
FRAIL-078,28951766,D4_outcome_measurement,,,Dr Chandrakala D,,
FRAIL-078,28951766,D5_selection_of_reported_result,,,Dr Chandrakala D,,
FRAIL-078,28951766,overall,,,Dr Chandrakala D,,
FRAIL-079,28514618,D1_randomization_process,,,Dr Siddalingaiah H S,,
FRAIL-079,28514618,D2_deviations_from_intended_interventions,,,Dr Siddalingaiah H S,,
FRAIL-079,28514618,D3_missing_outcome_data,,,Dr Siddalingaiah H S,,
FRAIL-079,28514618,D4_outcome_measurement,,,Dr Siddalingaiah H S,,
FRAIL-079,28514618,D5_selection_of_reported_result,,,Dr Siddalingaiah H S,,
FRAIL-079,28514618,overall,,,Dr Siddalingaiah H S,,
FRAIL-080,28085913,D1_randomization_process,,,Dr Chandrakala D,,
FRAIL-080,28085913,D2_deviations_from_intended_interventions,,,Dr Chandrakala D,,
FRAIL-080,28085913,D3_missing_outcome_data,,,Dr Chandrakala D,,
FRAIL-080,28085913,D4_outcome_measurement,,,Dr Chandrakala D,,
FRAIL-080,28085913,D5_selection_of_reported_result,,,Dr Chandrakala D,,
FRAIL-080,28085913,overall,,,Dr Chandrakala D,,
FRAIL-081,27897406,D1_randomization_process,,,Dr Siddalingaiah H S,,
FRAIL-081,27897406,D2_deviations_from_intended_interventions,,,Dr Siddalingaiah H S,,
FRAIL-081,27897406,D3_missing_outcome_data,,,Dr Siddalingaiah H S,,
FRAIL-081,27897406,D4_outcome_measurement,,,Dr Siddalingaiah H S,,
FRAIL-081,27897406,D5_selection_of_reported_result,,,Dr Siddalingaiah H S,,
FRAIL-081,27897406,overall,,,Dr Siddalingaiah H S,,
FRAIL-082,27695646,D1_randomization_process,,,Dr Chandrakala D,,
FRAIL-082,27695646,D2_deviations_from_intended_interventions,,,Dr Chandrakala D,,
FRAIL-082,27695646,D3_missing_outcome_data,,,Dr Chandrakala D,,
FRAIL-082,27695646,D4_outcome_measurement,,,Dr Chandrakala D,,
FRAIL-082,27695646,D5_selection_of_reported_result,,,Dr Chandrakala D,,
FRAIL-082,27695646,overall,,,Dr Chandrakala D,,
FRAIL-083,27178766,D1_randomization_process,,,Dr Siddalingaiah H S,,
FRAIL-083,27178766,D2_deviations_from_intended_interventions,,,Dr Siddalingaiah H S,,
FRAIL-083,27178766,D3_missing_outcome_data,,,Dr Siddalingaiah H S,,
FRAIL-083,27178766,D4_outcome_measurement,,,Dr Siddalingaiah H S,,
FRAIL-083,27178766,D5_selection_of_reported_result,,,Dr Siddalingaiah H S,,
FRAIL-083,27178766,overall,,,Dr Siddalingaiah H S,,
FRAIL-084,27175793,D1_randomization_process,,,Dr Chandrakala D,,
FRAIL-084,27175793,D2_deviations_from_intended_interventions,,,Dr Chandrakala D,,
FRAIL-084,27175793,D3_missing_outcome_data,,,Dr Chandrakala D,,
FRAIL-084,27175793,D4_outcome_measurement,,,Dr Chandrakala D,,
FRAIL-084,27175793,D5_selection_of_reported_result,,,Dr Chandrakala D,,
FRAIL-084,27175793,overall,,,Dr Chandrakala D,,
FRAIL-085,26786203,D1_randomization_process,,,Dr Siddalingaiah H S,,
FRAIL-085,26786203,D2_deviations_from_intended_interventions,,,Dr Siddalingaiah H S,,
FRAIL-085,26786203,D3_missing_outcome_data,,,Dr Siddalingaiah H S,,
FRAIL-085,26786203,D4_outcome_measurement,,,Dr Siddalingaiah H S,,
FRAIL-085,26786203,D5_selection_of_reported_result,,,Dr Siddalingaiah H S,,
FRAIL-085,26786203,overall,,,Dr Siddalingaiah H S,,
FRAIL-086,26201510,D1_randomization_process,,,Dr Chandrakala D,,
FRAIL-086,26201510,D2_deviations_from_intended_interventions,,,Dr Chandrakala D,,
FRAIL-086,26201510,D3_missing_outcome_data,,,Dr Chandrakala D,,
FRAIL-086,26201510,D4_outcome_measurement,,,Dr Chandrakala D,,
FRAIL-086,26201510,D5_selection_of_reported_result,,,Dr Chandrakala D,,
FRAIL-086,26201510,overall,,,Dr Chandrakala D,,
FRAIL-087,25887235,D1_randomization_process,,,Dr Siddalingaiah H S,,
FRAIL-087,25887235,D2_deviations_from_intended_interventions,,,Dr Siddalingaiah H S,,
FRAIL-087,25887235,D3_missing_outcome_data,,,Dr Siddalingaiah H S,,
FRAIL-087,25887235,D4_outcome_measurement,,,Dr Siddalingaiah H S,,
FRAIL-087,25887235,D5_selection_of_reported_result,,,Dr Siddalingaiah H S,,
FRAIL-087,25887235,overall,,,Dr Siddalingaiah H S,,
FRAIL-088,25659147,D1_randomization_process,,,Dr Chandrakala D,,
FRAIL-088,25659147,D2_deviations_from_intended_interventions,,,Dr Chandrakala D,,
FRAIL-088,25659147,D3_missing_outcome_data,,,Dr Chandrakala D,,
FRAIL-088,25659147,D4_outcome_measurement,,,Dr Chandrakala D,,
FRAIL-088,25659147,D5_selection_of_reported_result,,,Dr Chandrakala D,,
FRAIL-088,25659147,overall,,,Dr Chandrakala D,,
FRAIL-089,25387728,D1_randomization_process,,,Dr Siddalingaiah H S,,
FRAIL-089,25387728,D2_deviations_from_intended_interventions,,,Dr Siddalingaiah H S,,
FRAIL-089,25387728,D3_missing_outcome_data,,,Dr Siddalingaiah H S,,
FRAIL-089,25387728,D4_outcome_measurement,,,Dr Siddalingaiah H S,,
FRAIL-089,25387728,D5_selection_of_reported_result,,,Dr Siddalingaiah H S,,
FRAIL-089,25387728,overall,,,Dr Siddalingaiah H S,,
FRAIL-090,24951180,D1_randomization_process,,,Dr Chandrakala D,,
FRAIL-090,24951180,D2_deviations_from_intended_interventions,,,Dr Chandrakala D,,
FRAIL-090,24951180,D3_missing_outcome_data,,,Dr Chandrakala D,,
FRAIL-090,24951180,D4_outcome_measurement,,,Dr Chandrakala D,,
FRAIL-090,24951180,D5_selection_of_reported_result,,,Dr Chandrakala D,,
FRAIL-090,24951180,overall,,,Dr Chandrakala D,,
FRAIL-091,24742587,D1_randomization_process,,,Dr Siddalingaiah H S,,
FRAIL-091,24742587,D2_deviations_from_intended_interventions,,,Dr Siddalingaiah H S,,
FRAIL-091,24742587,D3_missing_outcome_data,,,Dr Siddalingaiah H S,,
FRAIL-091,24742587,D4_outcome_measurement,,,Dr Siddalingaiah H S,,
FRAIL-091,24742587,D5_selection_of_reported_result,,,Dr Siddalingaiah H S,,
FRAIL-091,24742587,overall,,,Dr Siddalingaiah H S,,
FRAIL-092,23009149,D1_randomization_process,,,Dr Chandrakala D,,
FRAIL-092,23009149,D2_deviations_from_intended_interventions,,,Dr Chandrakala D,,
FRAIL-092,23009149,D3_missing_outcome_data,,,Dr Chandrakala D,,
FRAIL-092,23009149,D4_outcome_measurement,,,Dr Chandrakala D,,
FRAIL-092,23009149,D5_selection_of_reported_result,,,Dr Chandrakala D,,
FRAIL-092,23009149,overall,,,Dr Chandrakala D,,
FRAIL-093,22499461,D1_randomization_process,,,Dr Siddalingaiah H S,,
FRAIL-093,22499461,D2_deviations_from_intended_interventions,,,Dr Siddalingaiah H S,,
FRAIL-093,22499461,D3_missing_outcome_data,,,Dr Siddalingaiah H S,,
FRAIL-093,22499461,D4_outcome_measurement,,,Dr Siddalingaiah H S,,
FRAIL-093,22499461,D5_selection_of_reported_result,,,Dr Siddalingaiah H S,,
FRAIL-093,22499461,overall,,,Dr Siddalingaiah H S,,
FRAIL-094,21449785,D1_randomization_process,,,Dr Chandrakala D,,
FRAIL-094,21449785,D2_deviations_from_intended_interventions,,,Dr Chandrakala D,,
FRAIL-094,21449785,D3_missing_outcome_data,,,Dr Chandrakala D,,
FRAIL-094,21449785,D4_outcome_measurement,,,Dr Chandrakala D,,
FRAIL-094,21449785,D5_selection_of_reported_result,,,Dr Chandrakala D,,
FRAIL-094,21449785,overall,,,Dr Chandrakala D,,
FRAIL-095,18364384,D1_randomization_process,,,Dr Siddalingaiah H S,,
FRAIL-095,18364384,D2_deviations_from_intended_interventions,,,Dr Siddalingaiah H S,,
FRAIL-095,18364384,D3_missing_outcome_data,,,Dr Siddalingaiah H S,,
FRAIL-095,18364384,D4_outcome_measurement,,,Dr Siddalingaiah H S,,
FRAIL-095,18364384,D5_selection_of_reported_result,,,Dr Siddalingaiah H S,,
FRAIL-095,18364384,overall,,,Dr Siddalingaiah H S,,
FRAIL-096,42066553,D1_randomization_process,,,Dr Chandrakala D,,
FRAIL-096,42066553,D2_deviations_from_intended_interventions,,,Dr Chandrakala D,,
FRAIL-096,42066553,D3_missing_outcome_data,,,Dr Chandrakala D,,
FRAIL-096,42066553,D4_outcome_measurement,,,Dr Chandrakala D,,
FRAIL-096,42066553,D5_selection_of_reported_result,,,Dr Chandrakala D,,
FRAIL-096,42066553,overall,,,Dr Chandrakala D,,
FRAIL-097,41805014,D1_randomization_process,,,Dr Siddalingaiah H S,,
FRAIL-097,41805014,D2_deviations_from_intended_interventions,,,Dr Siddalingaiah H S,,
FRAIL-097,41805014,D3_missing_outcome_data,,,Dr Siddalingaiah H S,,
FRAIL-097,41805014,D4_outcome_measurement,,,Dr Siddalingaiah H S,,
FRAIL-097,41805014,D5_selection_of_reported_result,,,Dr Siddalingaiah H S,,
FRAIL-097,41805014,overall,,,Dr Siddalingaiah H S,,
FRAIL-098,41397660,D1_randomization_process,,,Dr Chandrakala D,,
FRAIL-098,41397660,D2_deviations_from_intended_interventions,,,Dr Chandrakala D,,
FRAIL-098,41397660,D3_missing_outcome_data,,,Dr Chandrakala D,,
FRAIL-098,41397660,D4_outcome_measurement,,,Dr Chandrakala D,,
FRAIL-098,41397660,D5_selection_of_reported_result,,,Dr Chandrakala D,,
FRAIL-098,41397660,overall,,,Dr Chandrakala D,,
FRAIL-099,41386386,D1_randomization_process,,,Dr Siddalingaiah H S,,
FRAIL-099,41386386,D2_deviations_from_intended_interventions,,,Dr Siddalingaiah H S,,
FRAIL-099,41386386,D3_missing_outcome_data,,,Dr Siddalingaiah H S,,
FRAIL-099,41386386,D4_outcome_measurement,,,Dr Siddalingaiah H S,,
FRAIL-099,41386386,D5_selection_of_reported_result,,,Dr Siddalingaiah H S,,
FRAIL-099,41386386,overall,,,Dr Siddalingaiah H S,,
FRAIL-100,41190491,D1_randomization_process,,,Dr Chandrakala D,,
FRAIL-100,41190491,D2_deviations_from_intended_interventions,,,Dr Chandrakala D,,
FRAIL-100,41190491,D3_missing_outcome_data,,,Dr Chandrakala D,,
FRAIL-100,41190491,D4_outcome_measurement,,,Dr Chandrakala D,,
FRAIL-100,41190491,D5_selection_of_reported_result,,,Dr Chandrakala D,,
FRAIL-100,41190491,overall,,,Dr Chandrakala D,,
FRAIL-101,39731555,D1_randomization_process,,,Dr Siddalingaiah H S,,
FRAIL-101,39731555,D2_deviations_from_intended_interventions,,,Dr Siddalingaiah H S,,
FRAIL-101,39731555,D3_missing_outcome_data,,,Dr Siddalingaiah H S,,
FRAIL-101,39731555,D4_outcome_measurement,,,Dr Siddalingaiah H S,,
FRAIL-101,39731555,D5_selection_of_reported_result,,,Dr Siddalingaiah H S,,
FRAIL-101,39731555,overall,,,Dr Siddalingaiah H S,,
FRAIL-102,41103092,D1_randomization_process,,,Dr Chandrakala D,,
FRAIL-102,41103092,D2_deviations_from_intended_interventions,,,Dr Chandrakala D,,
FRAIL-102,41103092,D3_missing_outcome_data,,,Dr Chandrakala D,,
FRAIL-102,41103092,D4_outcome_measurement,,,Dr Chandrakala D,,
FRAIL-102,41103092,D5_selection_of_reported_result,,,Dr Chandrakala D,,
FRAIL-102,41103092,overall,,,Dr Chandrakala D,,
FRAIL-103,40977239,D1_randomization_process,,,Dr Siddalingaiah H S,,
FRAIL-103,40977239,D2_deviations_from_intended_interventions,,,Dr Siddalingaiah H S,,
FRAIL-103,40977239,D3_missing_outcome_data,,,Dr Siddalingaiah H S,,
FRAIL-103,40977239,D4_outcome_measurement,,,Dr Siddalingaiah H S,,
FRAIL-103,40977239,D5_selection_of_reported_result,,,Dr Siddalingaiah H S,,
FRAIL-103,40977239,overall,,,Dr Siddalingaiah H S,,
FRAIL-104,40616927,D1_randomization_process,,,Dr Chandrakala D,,
FRAIL-104,40616927,D2_deviations_from_intended_interventions,,,Dr Chandrakala D,,
FRAIL-104,40616927,D3_missing_outcome_data,,,Dr Chandrakala D,,
FRAIL-104,40616927,D4_outcome_measurement,,,Dr Chandrakala D,,
FRAIL-104,40616927,D5_selection_of_reported_result,,,Dr Chandrakala D,,
FRAIL-104,40616927,overall,,,Dr Chandrakala D,,
FRAIL-105,40147475,D1_randomization_process,,,Dr Siddalingaiah H S,,
FRAIL-105,40147475,D2_deviations_from_intended_interventions,,,Dr Siddalingaiah H S,,
FRAIL-105,40147475,D3_missing_outcome_data,,,Dr Siddalingaiah H S,,
FRAIL-105,40147475,D4_outcome_measurement,,,Dr Siddalingaiah H S,,
FRAIL-105,40147475,D5_selection_of_reported_result,,,Dr Siddalingaiah H S,,
FRAIL-105,40147475,overall,,,Dr Siddalingaiah H S,,
FRAIL-106,40121126,D1_randomization_process,,,Dr Chandrakala D,,
FRAIL-106,40121126,D2_deviations_from_intended_interventions,,,Dr Chandrakala D,,
FRAIL-106,40121126,D3_missing_outcome_data,,,Dr Chandrakala D,,
FRAIL-106,40121126,D4_outcome_measurement,,,Dr Chandrakala D,,
FRAIL-106,40121126,D5_selection_of_reported_result,,,Dr Chandrakala D,,
FRAIL-106,40121126,overall,,,Dr Chandrakala D,,
FRAIL-107,40024357,D1_randomization_process,,,Dr Siddalingaiah H S,,
FRAIL-107,40024357,D2_deviations_from_intended_interventions,,,Dr Siddalingaiah H S,,
FRAIL-107,40024357,D3_missing_outcome_data,,,Dr Siddalingaiah H S,,
FRAIL-107,40024357,D4_outcome_measurement,,,Dr Siddalingaiah H S,,
FRAIL-107,40024357,D5_selection_of_reported_result,,,Dr Siddalingaiah H S,,
FRAIL-107,40024357,overall,,,Dr Siddalingaiah H S,,
FRAIL-108,39798411,D1_randomization_process,,,Dr Chandrakala D,,
FRAIL-108,39798411,D2_deviations_from_intended_interventions,,,Dr Chandrakala D,,
FRAIL-108,39798411,D3_missing_outcome_data,,,Dr Chandrakala D,,
FRAIL-108,39798411,D4_outcome_measurement,,,Dr Chandrakala D,,
FRAIL-108,39798411,D5_selection_of_reported_result,,,Dr Chandrakala D,,
FRAIL-108,39798411,overall,,,Dr Chandrakala D,,
FRAIL-109,39736420,D1_randomization_process,,,Dr Siddalingaiah H S,,
FRAIL-109,39736420,D2_deviations_from_intended_interventions,,,Dr Siddalingaiah H S,,
FRAIL-109,39736420,D3_missing_outcome_data,,,Dr Siddalingaiah H S,,
FRAIL-109,39736420,D4_outcome_measurement,,,Dr Siddalingaiah H S,,
FRAIL-109,39736420,D5_selection_of_reported_result,,,Dr Siddalingaiah H S,,
FRAIL-109,39736420,overall,,,Dr Siddalingaiah H S,,
FRAIL-110,39626407,D1_randomization_process,,,Dr Chandrakala D,,
FRAIL-110,39626407,D2_deviations_from_intended_interventions,,,Dr Chandrakala D,,
FRAIL-110,39626407,D3_missing_outcome_data,,,Dr Chandrakala D,,
FRAIL-110,39626407,D4_outcome_measurement,,,Dr Chandrakala D,,
FRAIL-110,39626407,D5_selection_of_reported_result,,,Dr Chandrakala D,,
FRAIL-110,39626407,overall,,,Dr Chandrakala D,,
FRAIL-111,39561465,D1_randomization_process,,,Dr Siddalingaiah H S,,
FRAIL-111,39561465,D2_deviations_from_intended_interventions,,,Dr Siddalingaiah H S,,
FRAIL-111,39561465,D3_missing_outcome_data,,,Dr Siddalingaiah H S,,
FRAIL-111,39561465,D4_outcome_measurement,,,Dr Siddalingaiah H S,,
FRAIL-111,39561465,D5_selection_of_reported_result,,,Dr Siddalingaiah H S,,
FRAIL-111,39561465,overall,,,Dr Siddalingaiah H S,,
FRAIL-112,39500251,D1_randomization_process,,,Dr Chandrakala D,,
FRAIL-112,39500251,D2_deviations_from_intended_interventions,,,Dr Chandrakala D,,
FRAIL-112,39500251,D3_missing_outcome_data,,,Dr Chandrakala D,,
FRAIL-112,39500251,D4_outcome_measurement,,,Dr Chandrakala D,,
FRAIL-112,39500251,D5_selection_of_reported_result,,,Dr Chandrakala D,,
FRAIL-112,39500251,overall,,,Dr Chandrakala D,,
FRAIL-113,39647881,D1_randomization_process,,,Dr Siddalingaiah H S,,
FRAIL-113,39647881,D2_deviations_from_intended_interventions,,,Dr Siddalingaiah H S,,
FRAIL-113,39647881,D3_missing_outcome_data,,,Dr Siddalingaiah H S,,
FRAIL-113,39647881,D4_outcome_measurement,,,Dr Siddalingaiah H S,,
FRAIL-113,39647881,D5_selection_of_reported_result,,,Dr Siddalingaiah H S,,
FRAIL-113,39647881,overall,,,Dr Siddalingaiah H S,,
FRAIL-114,39182446,D1_randomization_process,,,Dr Chandrakala D,,
FRAIL-114,39182446,D2_deviations_from_intended_interventions,,,Dr Chandrakala D,,
FRAIL-114,39182446,D3_missing_outcome_data,,,Dr Chandrakala D,,
FRAIL-114,39182446,D4_outcome_measurement,,,Dr Chandrakala D,,
FRAIL-114,39182446,D5_selection_of_reported_result,,,Dr Chandrakala D,,
FRAIL-114,39182446,overall,,,Dr Chandrakala D,,
FRAIL-115,39166366,D1_randomization_process,,,Dr Siddalingaiah H S,,
FRAIL-115,39166366,D2_deviations_from_intended_interventions,,,Dr Siddalingaiah H S,,
FRAIL-115,39166366,D3_missing_outcome_data,,,Dr Siddalingaiah H S,,
FRAIL-115,39166366,D4_outcome_measurement,,,Dr Siddalingaiah H S,,
FRAIL-115,39166366,D5_selection_of_reported_result,,,Dr Siddalingaiah H S,,
FRAIL-115,39166366,overall,,,Dr Siddalingaiah H S,,
FRAIL-116,38727090,D1_randomization_process,,,Dr Chandrakala D,,
FRAIL-116,38727090,D2_deviations_from_intended_interventions,,,Dr Chandrakala D,,
FRAIL-116,38727090,D3_missing_outcome_data,,,Dr Chandrakala D,,
FRAIL-116,38727090,D4_outcome_measurement,,,Dr Chandrakala D,,
FRAIL-116,38727090,D5_selection_of_reported_result,,,Dr Chandrakala D,,
FRAIL-116,38727090,overall,,,Dr Chandrakala D,,
FRAIL-117,38691121,D1_randomization_process,,,Dr Siddalingaiah H S,,
FRAIL-117,38691121,D2_deviations_from_intended_interventions,,,Dr Siddalingaiah H S,,
FRAIL-117,38691121,D3_missing_outcome_data,,,Dr Siddalingaiah H S,,
FRAIL-117,38691121,D4_outcome_measurement,,,Dr Siddalingaiah H S,,
FRAIL-117,38691121,D5_selection_of_reported_result,,,Dr Siddalingaiah H S,,
FRAIL-117,38691121,overall,,,Dr Siddalingaiah H S,,
FRAIL-118,38479253,D1_randomization_process,,,Dr Chandrakala D,,
FRAIL-118,38479253,D2_deviations_from_intended_interventions,,,Dr Chandrakala D,,
FRAIL-118,38479253,D3_missing_outcome_data,,,Dr Chandrakala D,,
FRAIL-118,38479253,D4_outcome_measurement,,,Dr Chandrakala D,,
FRAIL-118,38479253,D5_selection_of_reported_result,,,Dr Chandrakala D,,
FRAIL-118,38479253,overall,,,Dr Chandrakala D,,
FRAIL-119,38430497,D1_randomization_process,,,Dr Siddalingaiah H S,,
FRAIL-119,38430497,D2_deviations_from_intended_interventions,,,Dr Siddalingaiah H S,,
FRAIL-119,38430497,D3_missing_outcome_data,,,Dr Siddalingaiah H S,,
