title,authors,year,journal,doi,pmid,source,is_preprint,study_design,species_model,sample_size,age_sex,disease_status,intervention_name,intervention_class,dose_intensity,duration,comparator,outcome_exact,ageing_domain_category,effect_direction,effect_size,uncertainty_measure,follow_up_time,mechanism,mechanism_directness,extraction_confidence,missingness_flag,ambiguity_notes,claim_score,claim_category
"Young Plasma Rejuvenates Blood DNA Methylation Profile, Extends Mean Lifespan, and Improves Physical Appearance in Old Rats.","Chiavellini P, Lehmann M, Gallardo MD, Mallat MC, Pasquini DC, Zoller JA, Gordevicius J, Girard M, Lacunza E, Herenu CB, Horvath S, Goya RG.",2024.0,J Gerontol A Biol Sci Med Sci,10.1093/gerona/glae071,38430547.0,europe_pmc,False,animal_experiment,unclear,,,,controversial,controversial,,,,lifespan,hard_ageing_relevance,not_extracted_metadata_only,,,,epigenetic_alterations,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,6.5,biomarker_or_preclinical_evidence
"Caloric restriction and time-restricted eating in older adults with overweight or obesity: The Health, Aging, and Later-Life Outcomes Pilot Study.","Houston DK, Fanning J, Nicklas BJ, Delany JP, Hsu FC, Chen SH, Walkup M, Neiberg RH, Stowe CL, Kennedy K, Espeland MA, Ard JD, Miller ME, Rejeski WJ, Kritchevsky SB.",2026.0,J Gerontol A Biol Sci Med Sci,10.1093/gerona/glag061,41766355.0,europe_pmc,False,RCT_or_clinical_trial,human,,,,caloric_restriction,caloric_restriction,,,,,surrogate_or_indirect,not_extracted_metadata_only,,,,unclear,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,9.5,promising_but_incomplete
"MITOCHONDRIAL METABOLIC CHECKPOINT, STEM CELL AGING AND REJUVENATION",Chen Danica,2022.0,Innovation in Aging,10.1093/geroni/igac059.1143,,crossref,False,in_vitro_study,cellular,,,,stem_cell,stem_cell,,,,rejuvenation,surrogate_or_indirect,not_extracted_metadata_only,,,,mitochondrial_function; stem_cell_effects,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,4.5,speculative_or_hype_heavy
CALORIC RESTRICTION AND AGING: FROM CALORIES TO FASTING Times,de Cabo Rafael,2023.0,Innovation in Aging,10.1093/geroni/igad104.1357,,crossref,False,unclear_or_metadata_only,unclear,,,,caloric_restriction,caloric_restriction; fasting,,,,,surrogate_or_indirect,not_extracted_metadata_only,,,,unclear,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,5.5,biomarker_or_preclinical_evidence
DIETARY RESTRICTION OF ISOLEUCINE INCREASES THE HEALTHSPAN AND LIFESPAN OF GENETICALLY HETEROGENEOUS MICE,Green Cara,2023.0,Innovation in Aging,10.1093/geroni/igad104.2995,,crossref,False,animal_experiment,animal,,,,caloric_restriction,caloric_restriction,,,,lifespan; healthspan,hard_ageing_relevance,not_extracted_metadata_only,,,,unclear,inferred_from_title_abstract,0.6,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,10.0,promising_but_incomplete
HARNESSING PROTEIN INTAKE AND MICROBIOME INTERACTIONS TO IMPROVE HEALTHSPAN,Hill Cristal; Vaddi Prerana,2025.0,Innovation in Aging,10.1093/geroni/igaf122.1799,,crossref,False,unclear_or_metadata_only,unclear,,,,microbiome,microbiome,,,,healthspan,surrogate_or_indirect,not_extracted_metadata_only,,,,microbiome_host,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,5.5,biomarker_or_preclinical_evidence
MOLECULAR MECHANISM OF LIFESPAN EXTENSION BY CALORIC RESTRICTION,Li H.,2017.0,Innovation in Aging,10.1093/geroni/igx004.3354,,crossref,False,unclear_or_metadata_only,unclear,,,,caloric_restriction,caloric_restriction,,,,lifespan,hard_ageing_relevance,not_extracted_metadata_only,,,,unclear,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,8.5,promising_but_incomplete
P–230 The NAD+ precursor nicotinamide riboside protects against postovulatary aging in vitro,Tianjie L,2021.0,Human Reproduction,10.1093/humrep/deab130.229,,crossref,False,in_vitro_study,cellular,,,,nad_sirtuin,nad_sirtuin,,,,,surrogate_or_indirect,not_extracted_metadata_only,,,,sirtuin_nad,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,6.0,biomarker_or_preclinical_evidence
Hydroxyapatite-based nano-drug delivery system for nicotinamide mononucleotide (NMN): significantly enhancing NMN bioavailability and replenishing <i>in vivo</i> nicotinamide adenine dinucleotide (NAD+) levels,Zhang Da; Yau Lee-Fong; Bai Long-Bo; Tong Tian-Tian; Cao Kai-Yue; Yan Tong-Meng; Zeng Ling; Jiang Zhi-Hong,2023.0,Journal of Pharmacy and Pharmacology,10.1093/jpp/rgad090,,crossref,False,unclear_or_metadata_only,unclear,,,,nad_sirtuin,nad_sirtuin,,,,,surrogate_or_indirect,not_extracted_metadata_only,,,,sirtuin_nad,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,5.5,biomarker_or_preclinical_evidence
"Keeping up with the nicotinamides: NADP(H), the forgotten circadian cofactor that keeps metabolic time.","Palluth L, Takahashi JS, Green CB.",2025.0,Life Metab,10.1093/lifemeta/loaf034,41070198.0,europe_pmc,False,unclear_or_metadata_only,unclear,,,,sleep_circadian,sleep_circadian; nad_sirtuin,,,,,surrogate_or_indirect,not_extracted_metadata_only,,,,sirtuin_nad,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,7.0,biomarker_or_preclinical_evidence
Caloric Restriction and Maximum Lifespan,Clark William R,1992.0,A Means to an End The Biological Basis of Aging and Death,10.1093/oso/9780195125931.003.0008,,crossref,False,unclear_or_metadata_only,unclear,,,,caloric_restriction,caloric_restriction,,,,lifespan,hard_ageing_relevance,not_extracted_metadata_only,,,,unclear,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,8.5,promising_but_incomplete
Sirolimus and Mimetics: Modulator Sine Qua Non for Cardiac Xenotransplantation?,Uzoigwe CE.,2026.0,FASEB J,10.1096/fj.202600109rr,41909987.0,europe_pmc,False,unclear_or_metadata_only,unclear,,,,rapamycin_mtor,rapamycin_mtor,,,,,surrogate_or_indirect,not_extracted_metadata_only,,,,unclear,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,4.0,speculative_or_hype_heavy
Dynamical Systems Models for Plasma Dilution,Chambers Dylan; Christensen Neil,,,10.1101/2022.03.15.484505,,crossref,True,unclear_or_metadata_only,unclear,,,,controversial,controversial,,,,,surrogate_or_indirect,not_extracted_metadata_only,,,,unclear,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,1.0,speculative_or_hype_heavy
Dietary change without caloric restriction maintains a youthful profile in ageing yeast,Horkai Dorottya; Houseley Jonathan,,,10.1101/2022.07.19.500645,,crossref,True,unclear_or_metadata_only,unclear,,,,caloric_restriction,caloric_restriction,,,,,surrogate_or_indirect,not_extracted_metadata_only,,,,unclear,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,4.5,speculative_or_hype_heavy
"Exploring the effects of Dasatinib, Quercetin, and Fisetin on DNA methylation clocks: a longitudinal study on senolytic interventions",Lee Edwin; Carreras-Gallo Natàlia; Lopez Leilani; Turner Logan; Lin Aaron; Mendez Tavis L.; Went Hannah; Tomusiak Alan,,,10.1101/2023.09.22.23295961,,crossref,True,unclear_or_metadata_only,unclear,,,,senolytics,senolytics,,,,,surrogate_or_indirect,not_extracted_metadata_only,,,,cellular_senescence; epigenetic_alterations,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,4.5,speculative_or_hype_heavy
Towards personalized nicotinamide mononucleotide (NMN) supplementation: nicotinamide adenine dinucleotide (NAD) concentration,Kuerec Ajla Hodzic; Wang Weilan; Yi Lin; Tao Rongsheng; Lin Zhigang; Vaidya Aditi; Pendse Sohal; Thasma Sornaraja,,,10.1101/2024.02.19.24303025,,crossref,True,animal_experiment,human,,,,nad_sirtuin,nad_sirtuin; supplements,,,,,surrogate_or_indirect,not_extracted_metadata_only,,,,sirtuin_nad,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,8.5,promising_but_incomplete
Senolytic therapy combining Dasatinib and Quercetin restores the chondrogenic phenotype of human osteoarthritic chondrocytes by promoting the release of pro-anabolic mediators,Maurer Svenja; Kirsch Valeria; Ruths Leonie; Brenner Rolf E.; Riegger Jana,,,10.1101/2024.04.04.588076,,crossref,True,unclear_or_metadata_only,human,,,,senolytics,senolytics,,,,,surrogate_or_indirect,not_extracted_metadata_only,,,,cellular_senescence,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,8.5,promising_but_incomplete
In vitro heterochronic parabiosis identifies pigment epithelium-derived factor as a systemic mediator of rejuvenation by young blood,Wang Xizhe; Tazearslan Cagdas; Kim Seungsoo; Guo Qinghua; Contreras Daniela; Yang Jiping; Hudgins Adam D.; Suh Yousin,,,10.1101/2024.05.02.592258,,crossref,True,in_vitro_study,cellular,,,,controversial,controversial,,,,rejuvenation,surrogate_or_indirect,not_extracted_metadata_only,,,,unclear,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,1.5,speculative_or_hype_heavy
Dietary restriction promotes neuronal resilience via ADIOL,"Guijarro-Hernández A, Yoo S, Lemieux GA, Komatsu S, Latiff AQ, Patil RR, Ashrafi K.",2025.0,PPR,10.1101/2025.06.25.661551,,europe_pmc,False,unclear_or_metadata_only,unclear,,,,caloric_restriction,caloric_restriction,,,,,surrogate_or_indirect,not_extracted_metadata_only,,,,unclear,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,5.5,biomarker_or_preclinical_evidence
Metformin treatment of diverse Caenorhabditis species reveals the importance of genetic background in longevity and healthspan extension outcomes,,2022.0,Aging Cell,10.1111/acel.13093,,crossref,False,unclear_or_metadata_only,human,,,,metformin,metformin,,,,healthspan,surrogate_or_indirect,not_extracted_metadata_only,,,,nutrient_sensing,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,10.5,promising_but_incomplete
"Corrigendum to: Anti‐aging pharmacology in cutaneous wound healing: Effects of metformin, resveratrol, and rapamycin by local application",,2022.0,Aging Cell,10.1111/acel.13561,,crossref,False,animal_experiment,unclear,,,,metformin,metformin; rapamycin_mtor; supplements,,,,,surrogate_or_indirect,not_extracted_metadata_only,,,,nutrient_sensing,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,6.5,biomarker_or_preclinical_evidence
Nicotinamide riboside and caffeine partially restore diminished NAD availability but not altered energy metabolism in Alzheimer's disease,Ryu Woo‐In; Shen Minqi; Lee Yoon; Healy Ryan A.; Bormann Mariana K.; Cohen Bruce M.; Sonntag Kai‐Christian,2022.0,Aging Cell,10.1111/acel.13658,,crossref,False,unclear_or_metadata_only,unclear,,,,nad_sirtuin,nad_sirtuin,,,,,surrogate_or_indirect,not_extracted_metadata_only,,,,sirtuin_nad,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,5.5,biomarker_or_preclinical_evidence
"Senolytic drugs, dasatinib and quercetin, attenuate adipose tissue inflammation, and ameliorate metabolic function in old age",Islam Md Torikul; Tuday Eric; Allen Shanena; Kim John; Trott Daniel W.; Holland William L.; Donato Anthony J.; Lesniewski Lisa A.,2023.0,Aging Cell,10.1111/acel.13767,,crossref,False,animal_experiment,unclear,,,,senolytics,senolytics,,,,,surrogate_or_indirect,not_extracted_metadata_only,,,,cellular_senescence; inflammaging,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,5.5,biomarker_or_preclinical_evidence
Senolytic therapy combining Dasatinib and Quercetin restores the chondrogenic phenotype of human osteoarthritic chondrocytes by the release of pro‐anabolic mediators,Maurer Svenja; Kirsch Valeria; Ruths Leonie; Brenner Rolf E.; Riegger Jana,2025.0,Aging Cell,10.1111/acel.14361,,crossref,False,unclear_or_metadata_only,human,,,,senolytics,senolytics,,,,,surrogate_or_indirect,not_extracted_metadata_only,,,,cellular_senescence,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,9.5,promising_but_incomplete
Nicotinamide Riboside Supplementation Alleviates Testicular Aging Induced by Disruption of Qprt‐Dependent <scp>NAD</scp><sup>+</sup> De Novo Synthesis in Mice,Xu Yining; Wang Huan; Li Hui; Wei Chenlu; Zhu Zhenye; Zhao Yanqing; Zhu Jiajia; Lei Min,2025.0,Aging Cell,10.1111/acel.70004,,crossref,False,animal_experiment,animal,,,,nad_sirtuin,nad_sirtuin; supplements,,,,,surrogate_or_indirect,not_extracted_metadata_only,,,,sirtuin_nad,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,7.0,biomarker_or_preclinical_evidence
"Rapamycin, Not Metformin, Mirrors Dietary Restriction-Driven Lifespan Extension in Vertebrates: A Meta-Analysis.","Ivimey-Cook ER, Sultanova Z, Maklakov AA.",2025.0,Aging Cell,10.1111/acel.70131,40532901.0,europe_pmc,False,animal_experiment,unclear,,,,caloric_restriction,caloric_restriction; metformin; rapamycin_mtor,,,,lifespan,hard_ageing_relevance,not_extracted_metadata_only,,,,nutrient_sensing,inferred_from_title_abstract,0.6,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,10.0,promising_but_incomplete
An Ad Libitum-Fed Diet That Matches the Beneficial Lifespan Effects of Caloric Restriction but Acts via Opposite Effects on the Energy-Splicing Axis.,"Brandon AE, Pulpitel T, Schmitz-Peiffer C, Small L, Senior AM, Stonehouse S, Prescott L, Face A, Islam KS, Gunton JE, George J, Raubenheimer D, Cooney GJ, Le Couteur DG, Simpson SJ.",2025.0,Aging Cell,10.1111/acel.70269,41116750.0,europe_pmc,False,unclear_or_metadata_only,unclear,,,,caloric_restriction,caloric_restriction,,,,lifespan,hard_ageing_relevance,not_extracted_metadata_only,,,,unclear,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,8.5,promising_but_incomplete
"Senolytic Treatment With Dasatinib and Quercetin Reshapes Influenza‐Specific <scp>CD8</scp> T Cell Responses During Infection in Aged, Vaccinated Mice",Cadar Andreia N.; Torrance Blake L.; Fischler Sofie A.; Djaba Darlene A.; Haddad Zena; Teskey Dominique E.; Marka Nagaraju; Gorgei Kelsey A.,2026.0,Aging Cell,10.1111/acel.70345,,crossref,False,animal_experiment,animal,,,,senolytics,senolytics,,,,,surrogate_or_indirect,not_extracted_metadata_only,,,,cellular_senescence,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,7.0,biomarker_or_preclinical_evidence
Rapamycin Exerts Its Geroprotective Effects in the Ageing Human Immune System by Enhancing Resilience Against DNA Damage.,"Kell L, Jones EJ, Gharahdaghi N, Wilkinson DJ, Smith K, Atherton PJ, Simon AK, Cox LS, Alsaleh G.",2026.0,Aging Cell,10.1111/acel.70364,41524558.0,europe_pmc,False,unclear_or_metadata_only,human,,,,rapamycin_mtor,rapamycin_mtor,,,,,surrogate_or_indirect,not_extracted_metadata_only,,,,nutrient_sensing,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,9.5,promising_but_incomplete
Fasting as Medicine: Mitochondrial and Endothelial Rejuvenation in Vascular Aging.,"Milan M, Troyano-Rodriguez E, Ihuoma J, Negri S, Rudraboina R, Kosmider A, Awasthi S, Balasubramanian P, Conley S, Yabluchanskiy A, Csiszar A, Ungvari Z, de Cabo R, Tarantini S.",2026.0,Aging Cell,10.1111/acel.70372,41521387.0,europe_pmc,False,unclear_or_metadata_only,unclear,,,,fasting,fasting,,,,rejuvenation,surrogate_or_indirect,not_extracted_metadata_only,,,,mitochondrial_function,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,6.5,biomarker_or_preclinical_evidence
A Multidomain Lifestyle Intervention Is Associated With Improved Functional Trajectories and Favorable Changes in Epigenetic Aging Markers in Frail Older Adults: A Randomized Controlled Trial.,"Olaso-Gonzalez G, Millan-Domingo F, Garcia-Fernandez L, Garcia-Tercero E, Cebrian M, Garcia-Dominguez C, Carbonell JA, Casabo-Valles G, Garcia-Gimenez JL, Tamayo-Torres E, Gambini J, Tarazona-Santabalbina FJ, Vina J, Gomez-Cabrera MC.",2026.0,Aging Cell,10.1111/acel.70376,41677077.0,europe_pmc,False,RCT_or_clinical_trial,human,,,,lifestyle_bundle,lifestyle_bundle,,,,,surrogate_or_indirect,not_extracted_metadata_only,,,,epigenetic_alterations,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,11.0,promising_but_incomplete
DNA Methylation Signatures of Cellular Senescence Are Not Reversed by Senolytic Treatment.,"Kasamoto J, González J, Markov Y, Sehgal R, Lee E, Dwaraka VB, Smith R, Higgins-Chen AT.",2026.0,Aging Cell,10.1111/acel.70430,41746138.0,europe_pmc,False,in_vitro_study,cellular,,,,senolytics,senolytics,,,,senescence,biological_ageing_biomarker,not_extracted_metadata_only,,,,cellular_senescence; epigenetic_alterations,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,7.5,biomarker_or_preclinical_evidence
"Review for ""Caloric restriction extends lifespan in a clonal plant""",,2024.0,,10.1111/ele.14444/v1/review1,,crossref,False,unclear_or_metadata_only,unclear,,,,caloric_restriction,caloric_restriction,,,,lifespan,hard_ageing_relevance,not_extracted_metadata_only,,,,unclear,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,8.5,promising_but_incomplete
"Review for ""Caloric restriction extends lifespan in a clonal plant""",Compagnoni Aldo,2024.0,,10.1111/ele.14444/v1/review2,,crossref,False,unclear_or_metadata_only,unclear,,,,caloric_restriction,caloric_restriction,,,,lifespan,hard_ageing_relevance,not_extracted_metadata_only,,,,unclear,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,8.5,promising_but_incomplete
"Review for ""Caloric restriction extends lifespan in a clonal plant""",,2024.0,,10.1111/ele.14444/v1/review3,,crossref,False,unclear_or_metadata_only,unclear,,,,caloric_restriction,caloric_restriction,,,,lifespan,hard_ageing_relevance,not_extracted_metadata_only,,,,unclear,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,8.5,promising_but_incomplete
"Review for ""Caloric restriction extends lifespan in a clonal plant""",Compagnoni Aldo,2024.0,,10.1111/ele.14444/v2/review1,,crossref,False,unclear_or_metadata_only,unclear,,,,caloric_restriction,caloric_restriction,,,,lifespan,hard_ageing_relevance,not_extracted_metadata_only,,,,unclear,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,8.5,promising_but_incomplete
"Review for ""Caloric restriction extends lifespan in a clonal plant""",,2024.0,,10.1111/ele.14444/v2/review2,,crossref,False,unclear_or_metadata_only,unclear,,,,caloric_restriction,caloric_restriction,,,,lifespan,hard_ageing_relevance,not_extracted_metadata_only,,,,unclear,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,8.5,promising_but_incomplete
"Review for ""Caloric restriction extends lifespan in a clonal plant""",,2024.0,,10.1111/ele.14444/v2/review3,,crossref,False,unclear_or_metadata_only,unclear,,,,caloric_restriction,caloric_restriction,,,,lifespan,hard_ageing_relevance,not_extracted_metadata_only,,,,unclear,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,8.5,promising_but_incomplete
A review of skin microbiome and new challenges to cosmetic microbiome-friendly formulations.,"Santos YR, Andréo-Filho N, Lopes PS, Leite-Silva VR.",2026.0,Int J Cosmet Sci,10.1111/ics.70073,41524133.0,europe_pmc,False,unclear_or_metadata_only,unclear,,,,microbiome,microbiome,,,,,surrogate_or_indirect,not_extracted_metadata_only,,,,microbiome_host,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,5.5,biomarker_or_preclinical_evidence
Advances in Longevity: The Intersection of Regenerative Medicine and Cosmetic Dermatology.,"Haykal D, Flament F, Shadev M, Mora P, Puyat C, Dréno B, Zheng Q, Cartier H, Gold M, Cohen S.",2025.0,J Cosmet Dermatol,10.1111/jocd.70356,40671685.0,europe_pmc,False,animal_experiment,unclear,,,,stem_cell,stem_cell,,,,,surrogate_or_indirect,not_extracted_metadata_only,,,,stem_cell_effects,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,4.0,speculative_or_hype_heavy
"Impacts of exercise, renin-angiotensin system modulation or both on skeletal muscle circadian gene expression.","Zumbro EL, Baptista LC, Taylor T, Hernandez AR, Banerjee A, Sun Y, Yang Y, Li Q, Buford TW.",2026.0,Exp Physiol,10.1113/ep092318,41521543.0,europe_pmc,False,unclear_or_metadata_only,unclear,,,,exercise,exercise; sleep_circadian,,,,,surrogate_or_indirect,not_extracted_metadata_only,,,,unclear,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,6.5,biomarker_or_preclinical_evidence
Erratum. Effects of Dancing Associated With Resistance Training on Functional Parameters and Quality of Life of Aging Women: A Randomized Controlled Trial,Journal of Aging and Physical Activ,2023.0,Journal of Aging and Physical Activity,10.1123/japa.2023-0257,,crossref,False,RCT_or_clinical_trial,human,,,,exercise,exercise,,,,,surrogate_or_indirect,not_extracted_metadata_only,,,,unclear,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,10.5,promising_but_incomplete
Effects of Prolonged Hypertrophic Resistance Training on Acute Endocrine Responses in Young and Older Men,Walker Simon; Santolamazza Fabrizio; Kraemer William; Häkkinen Keijo,2015.0,Journal of Aging and Physical Activity,10.1123/japa.23.2.230,,crossref,False,unclear_or_metadata_only,human,,,,exercise,exercise,,,,,surrogate_or_indirect,not_extracted_metadata_only,,,,unclear,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,10.5,promising_but_incomplete
Exercise Training for Older Adults with Limitations in Physical Function,Peel Claire; Utsey Carolyn; MacGregor Jan,1999.0,Journal of Aging and Physical Activity,10.1123/japa.7.1.62,,crossref,False,unclear_or_metadata_only,human,,,,exercise,exercise,,,,,surrogate_or_indirect,not_extracted_metadata_only,,,,unclear,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,10.5,promising_but_incomplete
J012 NAD-HD: a randomized clinical trial of nicotinamide riboside in Huntington’s disease,Pihlstrøm Lasse; Frich Jan; Walsem Marleen van,2024.0,J: Clinical therapeutics,10.1136/jnnp-2024-ehdn.333,,crossref,False,RCT_or_clinical_trial,human,,,,nad_sirtuin,nad_sirtuin,,,,,surrogate_or_indirect,not_extracted_metadata_only,,,,sirtuin_nad,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,9.5,promising_but_incomplete
Can Short-Term Dietary Restriction and Fasting Have a Long-Term Anticarcinogenic Effect?,Klebanov Simon,2006.0,Interdisciplinary Topics in Gerontology,10.1159/000096562,,crossref,False,unclear_or_metadata_only,unclear,,,,caloric_restriction,caloric_restriction; fasting,,,,,surrogate_or_indirect,not_extracted_metadata_only,,,,unclear,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,5.5,biomarker_or_preclinical_evidence
Senolytic Combination of Dasatinib and Quercetin Promotes Tendon-to-Bone Healing by Mitigating Age-Related Senescence in Rats,Cai Zhuochang; Wang Haoyuan; Hu Jiacheng; Qu Cheng; Chen Shuai; Liu Xudong; Fan Cunyi,2025.0,The American Journal of Sports Medicine,10.1177/03635465251381763,,crossref,False,animal_experiment,unclear,,,,senolytics,senolytics,,,,senescence,biological_ageing_biomarker,not_extracted_metadata_only,,,,cellular_senescence,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,7.0,biomarker_or_preclinical_evidence
A phase II randomized placebo-controlled study of fisetin to improve physical function in breast cancer survivors: the TROFFi study rationale and trial design.,"Ji J, Crespi CM, Yee L, Zekster YA, Al-Saleem A, Petersen L, Lee C, Son N, Smith C, Evans T, Tchkonia T, Kirkland JL, Kuchel GA, Cohen HJ, Sedrak MS.",2026.0,Ther Adv Med Oncol,10.1177/17588359261424668,41835341.0,europe_pmc,False,RCT_or_clinical_trial,human,,,,senolytics,senolytics,,,,,surrogate_or_indirect,not_extracted_metadata_only,,,,unclear,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,8.0,promising_but_incomplete
The senolytic effect of Dasatinib and Quercetin on cellular senescence in COPD in vitro and in vivo models,Baker Jonathan; Kimura Genki; Nishimoto Yuki; Hassibi Shyreen; Kizawa Yasuo; Ito Kazuhiro,2023.0,Airway cell biology and immunopathology,10.1183/13993003.congress-2023.pa4046,,crossref,False,in_vitro_study,cellular,,,,senolytics,senolytics,,,,senescence,biological_ageing_biomarker,not_extracted_metadata_only,,,,cellular_senescence,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,7.5,biomarker_or_preclinical_evidence
"Rejuvenation of airway basal stem cells by partial chemical reprogramming Mengyu Zou1, Qiaoyu Chen1, Ying Hua1, Wei Zuo1,2* 1Tongji Stem Cell Center, Tongji University, Shanghai, China 2Kiangnan Institute of Stem Cell, Hangzhou, China",Zuo Wei,2025.0,Mechanisms of lung injury and repair,10.1183/23120541.lsc-2025.tp109,,crossref,False,in_vitro_study,cellular,,,,stem_cell,stem_cell,,,,rejuvenation,surrogate_or_indirect,not_extracted_metadata_only,,,,stem_cell_effects; epigenetic_alterations,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,4.5,speculative_or_hype_heavy
Ageing and exercise: building body capital in old age,Bergland Astrid; Fougner Marit; Lund Anne; Debesay Jonas,2018.0,European Review of Aging and Physical Activity,10.1186/s11556-018-0195-9,,crossref,False,unclear_or_metadata_only,unclear,,,,exercise,exercise,,,,,surrogate_or_indirect,not_extracted_metadata_only,,,,unclear,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,6.5,biomarker_or_preclinical_evidence
High-speed resistance training vs. low-speed resistance training on body composition and physical function in adults with sarcopenic obesity,Hsu Kuo-Jen; Huang Sheng-Yun; Liao Yi-Hung; Chen Chiao-Nan,2026.0,European Review of Aging and Physical Activity,10.1186/s11556-026-00405-1,,crossref,False,unclear_or_metadata_only,human,,,,exercise,exercise,,,,,surrogate_or_indirect,not_extracted_metadata_only,,,,unclear,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,10.5,promising_but_incomplete
