study_id,pmid,title,intervention_node_prelim,delivery_setting_score_0_2,workforce_fit_score_0_2,equipment_burden_score_0_2,dose_clarity_score_0_2,safety_monitoring_score_0_2,adherence_feasibility_score_0_2,procurement_burden_score_0_2,india_primary_care_readiness_total_0_14,implementation_readiness_category,readiness_notes
FRAIL-163,18431084,Effects of a physical and nutritional intervention program for frail elderly people over age 75. A randomized controlled pilot treatment trial.,exercise_plus_nutrition,,,,,,,,,,
FRAIL-164,17624483,Feasibility and effectiveness of a nurse-led community exercise programme for prevention of falls among frail elderly people: a multi-centre controlled trial.,exercise_plus_nutrition,,,,,,,,,,
FRAIL-165,16813773,Effects of exercise programs on falls and mobility in frail and pre-frail older adults: A multicenter randomized controlled trial.,exercise_only,,,,,,,,,,
FRAIL-166,16636211,Effect of weight loss and exercise on frailty in obese older adults.,exercise_only,,,,,,,,,,
FRAIL-167,16510864,"The influence of intense Tai Chi training on physical performance and hemodynamic outcomes in transitionally frail, older adults.",exercise_only,,,,,,,,,,
FRAIL-168,15241748,A prehabilitation program for the prevention of functional decline: effect on higher-level physical function.,digital_home_unclear_intervention,,,,,,,,,,
FRAIL-169,14687360,Selected as the best paper in the 1990s: Reducing frailty and falls in older persons: an investigation of tai chi and computerized balance training.,exercise_only,,,,,,,,,,
FRAIL-170,12588571,"A randomized, controlled trial of quadriceps resistance exercise and vitamin D in frail older people: the Frailty Interventions Trial in Elderly Subjects (FITNESS).",exercise_plus_nutrition,,,,,,,,,,
FRAIL-171,12448161,[Physical training as treatment of reduced functional ability in frail 75+ year-olds living at home. A randomized intervention study in general practice with technological assessment elements].,multicomponent_exercise,,,,,,,,,,
FRAIL-172,12171453,"Benefits of nutritional supplementation in free-living, frail, undernourished elderly people: a prospective randomized community trial.",exercise_plus_nutrition,,,,,,,,,,
FRAIL-173,11427784,Exercise dose-response effects on quality of life and independent living in older adults.,exercise_only,,,,,,,,,,
FRAIL-174,11387588,"Physical exercise and/or enriched foods for functional improvement in frail, independently living elderly: a randomized controlled trial.",nutrition_only,,,,,,,,,,
FRAIL-175,10968301,Attrition in an exercise intervention: a comparison of early and later dropouts.,exercise_only,,,,,,,,,,
FRAIL-176,10896013,Low-intensity exercise as a modifier of physical frailty in older adults.,exercise_only,,,,,,,,,,
FRAIL-177,10496549,The relation between psychometric test performance and physical performance in older adults.,unclear,,,,,,,,,,
FRAIL-178,10462167,Peak aerobic power is an important component of physical performance in older women.,exercise_only,,,,,,,,,,
FRAIL-179,8617895,Reducing frailty and falls in older persons: an investigation of Tai Chi and computerized balance training. Atlanta FICSIT Group. Frailty and Injuries: Cooperative Studies of Intervention Techniques.,exercise_only,,,,,,,,,,
